 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_dft_e_hull_diff | GPU Memory (MB)
06:22 |     1 |     1.000e-03 |     0.5401 |          0.4504 |              0.4504 |               0
06:23 |     2 |     1.000e-03 |     0.2236 |          0.2168 |              0.2168 |               0
06:24 |     3 |     1.000e-03 |     0.1101 |          0.0713 |              0.0713 |               0
06:25 |     4 |     1.000e-03 |     0.0416 |          0.0554 |              0.0554 |               0
06:26 |     5 |     1.000e-03 |     0.0443 |          0.0702 |              0.0702 |               0
06:27 |     6 |     1.000e-03 |     0.0504 |          0.0555 |              0.0555 |               0
06:28 |     7 |     1.000e-03 |     0.0590 |          0.0441 |              0.0441 |               0
06:29 |     8 |     1.000e-03 |     0.0355 |          0.0377 |              0.0377 |               0
06:30 |     9 |     1.000e-03 |     0.0268 |          0.0418 |              0.0418 |               0
06:31 |    10 |     1.000e-03 |     0.0333 |          0.0535 |              0.0535 |               0
06:33 |    11 |     1.000e-03 |     0.0434 |          0.0572 |              0.0572 |               0
06:34 |    12 |     1.000e-03 |     0.0492 |          0.0470 |              0.0470 |               0
06:35 |    13 |     1.000e-03 |     0.0315 |          0.0438 |              0.0438 |               0
06:37 |    14 |     1.000e-03 |     0.0383 |          0.0402 |              0.0402 |               0
06:37 |    15 |     1.000e-03 |     0.0342 |          0.0430 |              0.0430 |               0
06:38 |    16 |     1.000e-03 |     0.0326 |          0.0574 |              0.0574 |               0
06:39 |    17 |     1.000e-03 |     0.0306 |          0.0373 |              0.0373 |               0
06:40 |    18 |     1.000e-03 |     0.0255 |          0.0858 |              0.0858 |               0
06:41 |    19 |     1.000e-03 |     0.0722 |          0.0429 |              0.0429 |               0
06:42 |    20 |     1.000e-03 |     0.0669 |          0.0420 |              0.0420 |               0
06:43 |    21 |     1.000e-03 |     0.0537 |          0.0962 |              0.0962 |               0
06:44 |    22 |     1.000e-03 |     0.0620 |          0.0464 |              0.0464 |               0
06:45 |    23 |     1.000e-03 |     0.0477 |          0.0659 |              0.0659 |               0
06:46 |    24 |     1.000e-03 |     0.0458 |          0.0774 |              0.0774 |               0
06:47 |    25 |     1.000e-03 |     0.0621 |          0.0436 |              0.0436 |               0
06:48 |    26 |     1.000e-03 |     0.0325 |          0.0397 |              0.0397 |               0
06:49 |    27 |     1.000e-03 |     0.0338 |          0.0354 |              0.0354 |               0
06:50 |    28 |     1.000e-03 |     0.0287 |          0.0565 |              0.0565 |               0
06:51 |    29 |     1.000e-03 |     0.0339 |          0.0381 |              0.0381 |               0
06:52 |    30 |     1.000e-03 |     0.0256 |          0.0512 |              0.0512 |               0
06:53 |    31 |     1.000e-03 |     0.0284 |          0.0409 |              0.0409 |               0
06:54 |    32 |     1.000e-03 |     0.0253 |          0.0321 |              0.0321 |               0
06:55 |    33 |     1.000e-03 |     0.0224 |          0.0368 |              0.0368 |               0
06:56 |    34 |     1.000e-03 |     0.0270 |          0.0351 |              0.0351 |               0
06:57 |    35 |     1.000e-03 |     0.0193 |          0.0374 |              0.0374 |               0
06:58 |    36 |     1.000e-03 |     0.0404 |          0.0332 |              0.0332 |               0
06:59 |    37 |     1.000e-03 |     0.0585 |          0.0932 |              0.0932 |               0
06:59 |    38 |     1.000e-03 |     0.0488 |          0.0411 |              0.0411 |               0
07:00 |    39 |     1.000e-03 |     0.0297 |          0.0353 |              0.0353 |               0
07:00 |    40 |     1.000e-03 |     0.0171 |          0.0319 |              0.0319 |               0
07:01 |    41 |     1.000e-03 |     0.0222 |          0.0463 |              0.0463 |               0
07:02 |    42 |     1.000e-03 |     0.0444 |          0.1142 |              0.1142 |               0
07:02 |    43 |     1.000e-03 |     0.0545 |          0.0435 |              0.0435 |               0
07:03 |    44 |     1.000e-03 |     0.0266 |          0.0522 |              0.0522 |               0
07:04 |    45 |     1.000e-03 |     0.0277 |          0.0417 |              0.0417 |               0
07:04 |    46 |     1.000e-03 |     0.0216 |          0.0374 |              0.0374 |               0
07:05 |    47 |     1.000e-03 |     0.0220 |          0.0372 |              0.0372 |               0
07:05 |    48 |     1.000e-03 |     0.0183 |          0.0353 |              0.0353 |               0
07:06 |    49 |     1.000e-03 |     0.0190 |          0.0367 |              0.0367 |               0
07:07 |    50 |     1.000e-03 |     0.0188 |          0.0381 |              0.0381 |               0
07:07 |    51 |     1.000e-03 |     0.0181 |          0.0403 |              0.0403 |               0
07:08 |    52 |     5.000e-04 |     0.0179 |          0.0359 |              0.0359 |               0
07:09 |    53 |     5.000e-04 |     0.0204 |          0.0466 |              0.0466 |               0
07:09 |    54 |     5.000e-04 |     0.0192 |          0.0462 |              0.0462 |               0
07:10 |    55 |     5.000e-04 |     0.0184 |          0.0326 |              0.0326 |               0
07:11 |    56 |     5.000e-04 |     0.0117 |          0.0356 |              0.0356 |               0
07:12 |    57 |     5.000e-04 |     0.0120 |          0.0393 |              0.0393 |               0
07:12 |    58 |     5.000e-04 |     0.0134 |          0.0351 |              0.0351 |               0
07:13 |    59 |     5.000e-04 |     0.0176 |          0.0548 |              0.0548 |               0
07:14 |    60 |     5.000e-04 |     0.0161 |          0.0329 |              0.0329 |               0
07:14 |    61 |     5.000e-04 |     0.0205 |          0.0365 |              0.0365 |               0
07:15 |    62 |     5.000e-04 |     0.0180 |          0.0348 |              0.0348 |               0
07:16 |    63 |     2.500e-04 |     0.0109 |          0.0327 |              0.0327 |               0
07:16 |    64 |     2.500e-04 |     0.0114 |          0.0368 |              0.0368 |               0
07:17 |    65 |     2.500e-04 |     0.0108 |          0.0398 |              0.0398 |               0
07:18 |    66 |     2.500e-04 |     0.0108 |          0.0342 |              0.0342 |               0
07:19 |    67 |     2.500e-04 |     0.0112 |          0.0328 |              0.0328 |               0
07:19 |    68 |     2.500e-04 |     0.0110 |          0.0388 |              0.0388 |               0
07:20 |    69 |     2.500e-04 |     0.0108 |          0.0341 |              0.0341 |               0
07:21 |    70 |     2.500e-04 |     0.0095 |          0.0393 |              0.0393 |               0
07:22 |    71 |     2.500e-04 |     0.0103 |          0.0322 |              0.0322 |               0
07:22 |    72 |     2.500e-04 |     0.0109 |          0.0383 |              0.0383 |               0
07:23 |    73 |     2.500e-04 |     0.0096 |          0.0344 |              0.0344 |               0
07:24 |    74 |     1.250e-04 |     0.0076 |          0.0346 |              0.0346 |               0
07:25 |    75 |     1.250e-04 |     0.0091 |          0.0384 |              0.0384 |               0
07:26 |    76 |     1.250e-04 |     0.0093 |          0.0330 |              0.0330 |               0
07:26 |    77 |     1.250e-04 |     0.0082 |          0.0384 |              0.0384 |               0
07:27 |    78 |     1.250e-04 |     0.0085 |          0.0353 |              0.0353 |               0
07:28 |    79 |     1.250e-04 |     0.0077 |          0.0354 |              0.0354 |               0
07:29 |    80 |     1.250e-04 |     0.0076 |          0.0368 |              0.0368 |               0
07:29 |    81 |     1.250e-04 |     0.0079 |          0.0343 |              0.0343 |               0
07:30 |    82 |     1.250e-04 |     0.0080 |          0.0355 |              0.0355 |               0
07:31 |    83 |     1.250e-04 |     0.0078 |          0.0341 |              0.0341 |               0
07:31 |    84 |     1.250e-04 |     0.0097 |          0.0336 |              0.0336 |               0
07:32 |    85 |     6.250e-05 |     0.0083 |          0.0337 |              0.0337 |               0
07:33 |    86 |     6.250e-05 |     0.0079 |          0.0339 |              0.0339 |               0
07:34 |    87 |     6.250e-05 |     0.0070 |          0.0352 |              0.0352 |               0
07:35 |    88 |     6.250e-05 |     0.0071 |          0.0355 |              0.0355 |               0
07:36 |    89 |     6.250e-05 |     0.0071 |          0.0367 |              0.0367 |               0
07:36 |    90 |     6.250e-05 |     0.0074 |          0.0372 |              0.0372 |               0
07:37 |    91 |     6.250e-05 |     0.0081 |          0.0356 |              0.0356 |               0
07:38 |    92 |     6.250e-05 |     0.0075 |          0.0348 |              0.0348 |               0
07:39 |    93 |     6.250e-05 |     0.0068 |          0.0347 |              0.0347 |               0
07:39 |    94 |     6.250e-05 |     0.0069 |          0.0353 |              0.0353 |               0
07:40 |    95 |     6.250e-05 |     0.0068 |          0.0362 |              0.0362 |               0
07:41 |    96 |     3.125e-05 |     0.0067 |          0.0359 |              0.0359 |               0
07:42 |    97 |     3.125e-05 |     0.0073 |          0.0336 |              0.0336 |               0
07:42 |    98 |     3.125e-05 |     0.0069 |          0.0353 |              0.0353 |               0
07:43 |    99 |     3.125e-05 |     0.0067 |          0.0363 |              0.0363 |               0
07:44 |   100 |     3.125e-05 |     0.0067 |          0.0342 |              0.0342 |               0
