 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_dft_e_hull_diff | GPU Memory (MB)
04:31 |     1 |     1.000e-03 |     0.0952 |          0.0674 |              0.0674 |             507
05:08 |     2 |     1.000e-03 |     0.0650 |          0.0574 |              0.0574 |             507
05:47 |     3 |     1.000e-03 |     0.0587 |          0.0492 |              0.0492 |             507
06:23 |     4 |     1.000e-03 |     0.0575 |          0.0529 |              0.0529 |             507
06:57 |     5 |     1.000e-03 |     0.0511 |          0.0615 |              0.0615 |             507
07:32 |     6 |     1.000e-03 |     0.0523 |          0.0479 |              0.0479 |             507
08:07 |     7 |     1.000e-03 |     0.0500 |          0.0463 |              0.0463 |             507
08:39 |     8 |     1.000e-03 |     0.0482 |          0.0563 |              0.0563 |             507
09:17 |     9 |     1.000e-03 |     0.0472 |          0.0453 |              0.0453 |             507
09:52 |    10 |     1.000e-03 |     0.0443 |          0.0420 |              0.0420 |             507
10:27 |    11 |     1.000e-03 |     0.0436 |          0.0768 |              0.0768 |             507
11:04 |    12 |     1.000e-03 |     0.0438 |          0.0497 |              0.0497 |             507
11:35 |    13 |     1.000e-03 |     0.0423 |          0.0430 |              0.0430 |             507
12:15 |    14 |     1.000e-03 |     0.0420 |          0.0515 |              0.0515 |             507
12:51 |    15 |     1.000e-03 |     0.0409 |          0.0452 |              0.0452 |             507
13:26 |    16 |     1.000e-03 |     0.0418 |          0.0465 |              0.0465 |             507
14:04 |    17 |     1.000e-03 |     0.0413 |          0.0496 |              0.0496 |             507
14:39 |    18 |     1.000e-03 |     0.0406 |          0.0430 |              0.0430 |             507
15:19 |    19 |     1.000e-03 |     0.0371 |          0.0421 |              0.0421 |             507
15:57 |    20 |     1.000e-03 |     0.0385 |          0.0417 |              0.0417 |             507
16:36 |    21 |     1.000e-03 |     0.0386 |          0.0450 |              0.0450 |             507
17:11 |    22 |     1.000e-03 |     0.0353 |          0.0419 |              0.0419 |             507
17:53 |    23 |     1.000e-03 |     0.0370 |          0.0430 |              0.0430 |             507
18:29 |    24 |     1.000e-03 |     0.0375 |          0.0431 |              0.0431 |             507
19:07 |    25 |     1.000e-03 |     0.0353 |          0.0493 |              0.0493 |             507
19:43 |    26 |     1.000e-03 |     0.0342 |          0.0450 |              0.0450 |             507
20:13 |    27 |     1.000e-03 |     0.0337 |          0.0443 |              0.0443 |             507
20:51 |    28 |     1.000e-03 |     0.0348 |          0.0441 |              0.0441 |             507
21:28 |    29 |     1.000e-03 |     0.0338 |          0.0410 |              0.0410 |             507
21:59 |    30 |     1.000e-03 |     0.0343 |          0.0426 |              0.0426 |             507
22:37 |    31 |     1.000e-03 |     0.0329 |          0.0483 |              0.0483 |             507
23:11 |    32 |     1.000e-03 |     0.0330 |          0.0462 |              0.0462 |             507
23:48 |    33 |     1.000e-03 |     0.0322 |          0.0398 |              0.0398 |             507
24:29 |    34 |     1.000e-03 |     0.0329 |          0.0491 |              0.0491 |             507
25:10 |    35 |     1.000e-03 |     0.0320 |          0.0433 |              0.0433 |             507
25:48 |    36 |     1.000e-03 |     0.0311 |          0.0413 |              0.0413 |             507
